0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0
0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0	0	0	0	0	0
0	0.00001	0.00001	0.00001	0.00001	0.00001	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.00004
0.00001	0	0	0	0	0	0	0	0	0	0	0
0.00001	0	0	0	0	0	0	0	0	0	0	0
1000	1000	1000	900	900	900	700	700	700	600	600	800
0.0001	0.0001	0.0001	0.00005	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001	0.00001
0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02
